Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2016-17,NBA,Milwaukee Bucks*,42,40,0.512,2,-0.45,94.5,-1.9,109.1,0.3,109.3,0.5,Lost E. Conf. 1st Rnd.,J. Kidd (42-40),G. Antetokounmpo (12.4)
2015-16,NBA,Milwaukee Bucks,33,49,0.402,5,-3.98,94.2,-1.6,104.3,-2.1,108.7,2.3,,J. Kidd (33-49),G. Monroe (7.5)
2014-15,NBA,Milwaukee Bucks*,41,41,0.5,3,-0.09,94.1,0.2,102.7,-2.9,102.2,-3.4,Lost E. Conf. 1st Rnd.,J. Kidd (41-41),K. Middleton (6.7)
2013-14,NBA,Milwaukee Bucks,15,67,0.183,5,-8.41,91.8,-2.1,103,-3.7,111.8,5.1,,L. Drew (15-67),J. Henson (3.3)
2012-13,NBA,Milwaukee Bucks*,38,44,0.463,3,-1.83,94.7,2.7,103.6,-2.3,105.2,-0.7,Lost E. Conf. 1st Rnd.,"S. Skiles (16-16), J. Boylan (22-28)",E. Ilyasova (6.7)
2011-12,NBA,Milwaukee Bucks,31,35,0.47,3,-0.23,93.7,2.4,105.5,0.9,105.2,0.6,,S. Skiles (31-35),E. Ilyasova (6.4)
2010-11,NBA,Milwaukee Bucks,35,47,0.427,3,-1.02,89.8,-2.3,101.6,-5.7,102.5,-4.8,,S. Skiles (35-47),A. Bogut (5.4)
2009-10,NBA,Milwaukee Bucks*,46,36,0.561,2,1.37,91.7,-1,104.9,-2.7,103.1,-4.5,Lost E. Conf. 1st Rnd.,S. Skiles (46-36),A. Bogut (7.5)
2008-09,NBA,Milwaukee Bucks,34,48,0.415,5,-0.88,92.6,0.9,106.7,-1.6,107.9,-0.4,,S. Skiles (34-48),R. Jefferson (6.6)
2017-18,NBA,New Orleans Pelicans*,48,34,0.585,2,1.48,100.5,3.2,109.6,1,108.3,-0.3,Won W. Conf. 1st Rnd.,A. Gentry (48-34),A. Davis (13.7)
2016-17,NBA,New Orleans Pelicans,34,48,0.415,4,-1.69,98,1.6,105.2,-3.6,107.4,-1.4,,A. Gentry (34-48),A. Davis (11.0)
2015-16,NBA,New Orleans Pelicans,30,52,0.366,5,-3.56,96.8,1,105.6,-0.8,109.5,3.1,,A. Gentry (30-52),A. Davis (7.2)
2014-15,NBA,New Orleans Pelicans*,45,37,0.549,5,1.13,91.4,-2.5,108.2,2.6,107.3,1.7,Lost W. Conf. 1st Rnd.,M. Williams (45-37),A. Davis (14.0)
2013-14,NBA,New Orleans Pelicans,34,48,0.415,5,-1.98,92.2,-1.7,107.2,0.5,110.1,3.4,,M. Williams (34-48),A. Davis (10.4)
2012-13,NBA,New Orleans Hornets,27,55,0.329,5,-3.12,88.5,-3.5,105.7,-0.2,110.1,4.2,,M. Williams (27-55),R. Anderson (6.5)
2011-12,NBA,New Orleans Hornets,21,45,0.318,5,-3.11,88.3,-3,100.9,-3.7,105.1,0.5,,M. Williams (21-45),J. Jack (3.8)
2010-11,NBA,New Orleans Hornets*,46,36,0.561,3,1.28,88.7,-3.4,106.2,-1.1,105.2,-2.1,Lost W. Conf. 1st Rnd.,M. Williams (46-36),C. Paul (13.9)
2009-10,NBA,New Orleans Hornets,37,45,0.451,5,-2.27,92.6,-0.1,107.4,-0.2,110.1,2.5,,"B. Scott (3-6), J. Bower (34-39)",D. West (7.5)
2008-09,NBA,New Orleans Hornets*,49,33,0.598,4,1.41,87.8,-3.9,108.7,0.4,107,-1.3,Lost W. Conf. 1st Rnd.,B. Scott (49-33),C. Pa
2017-18,NBA,New York Knicks,29,53,0.354,4,-3.53,96.8,-0.5,107.1,-1.5,110.7,2.1,,J. Hornacek (29-53),E. Kanter (7.6)
2016-17,NBA,New York Knicks,31,51,0.378,3,-3.87,96,-0.4,107.7,-1.1,111.5,2.7,,J. Hornacek (31-51),C. Anthony (4.7)
2015-16,NBA,New York Knicks,32,50,0.39,3,-2.74,93.4,-2.4,104.6,-1.8,107.6,1.2,,"D. Fisher (23-31), K. Rambis (9-19)",C. Anthony (6.4)
2014-15,NBA,New York Knicks,17,65,0.207,5,-9.5,91.2,-2.7,99.9,-5.7,110,4.4,,D. Fisher (17-65),C. Anthony (2.9)
2013-14,NBA,New York Knicks,37,45,0.451,3,-1.4,90.3,-3.6,108.3,1.6,109.1,2.4,,M. Woodson (37-45),C. Anthony (10.7)
2012-13,NBA,New York Knicks*,54,28,0.659,1,3.73,89.8,-2.2,111.1,5.2,106.3,0.4,Lost E. Conf. Semis,M. Woodson (54-28),C. Anthony (9.5)
2011-12,NBA,New York Knicks*,36,30,0.545,2,2.39,93.2,1.9,104.4,-0.2,101,-3.6,Lost E. Conf. 1st Rnd.,"M. D'Antoni (18-24), M. Woodson (18-6)",T. Chandler (9.5)
2010-11,NBA,New York Knicks*,42,40,0.512,2,0.48,95.6,3.5,110.9,3.6,110.1,2.8,Lost E. Conf. 1st Rnd.,M. D'Antoni (42-40),A. Stoudemire (8.0)
2009-10,NBA,New York Knicks,29,53,0.354,3,-4.01,94,1.3,107.6,0,111.6,4,,M. D'Antoni (29-53),D. Lee (10.3)
2008-09,NBA,New York Knicks,32,50,0.39,5,-2.33,96.7,5,108.1,-0.2,110.8,2.5,,M. D'Antoni (32-50),D. Lee (9.0)
2017-18,NBA,Oklahoma City Thunder*,48,34,0.585,2,3.42,96.7,-0.6,110.7,2.1,107.2,-1.4,Y,B. Donovan (48-34),R. Westbrook (10.1)
2016-17,NBA,Oklahoma City Thunder*,47,35,0.573,2,1.14,97.8,1.4,108.3,-0.5,107.5,-1.3,Lost W. Conf. 1st Rnd.,B. Donovan (47-35),R. Westbrook (13.1)
2015-16,NBA,Oklahoma City Thunder*,55,27,0.671,1,7.09,96.7,0.9,113.1,6.7,105.6,-0.8,Lost W. Conf. Finals,B. Donovan (55-27),K. Durant (14.5)
2014-15,NBA,Oklahoma City Thunder,45,37,0.549,2,2.47,95.7,1.8,107.8,2.2,105.5,-0.1,,S. Brooks (45-37),R. Westbrook (10.6)
2013-14,NBA,Oklahoma City Thunder*,59,23,0.72,1,6.66,95.4,1.5,110.5,3.8,103.9,-2.8,Lost W. Conf. Finals,S. Brooks (59-23),K. Durant (19.2)
2012-13,NBA,Oklahoma City Thunder*,60,22,0.732,1,9.15,93.3,1.3,112.4,6.5,102.6,-3.3,Lost W. Conf. Semis,S. Brooks (60-22),K. Durant (18.9)
2011-12,NBA,Oklahoma City Thunder*,47,19,0.712,1,6.44,93,1.7,109.8,5.2,103.2,-1.4,Lost Finals,S. Brooks (47-19),K. Durant (12.2)
2010-11,NBA,Oklahoma City Thunder*,55,27,0.671,1,3.81,92.7,0.6,111.2,3.9,107.2,-0.1,Lost W. Conf. Finals,S. Brooks (55-27),K. Durant (12.0)
2009-10,NBA,Oklahoma City Thunder*,50,32,0.61,4,3.55,93.1,0.4,108.3,0.7,104.6,-3,Lost W. Conf. 1st Rnd.,S. Brooks (50-32),K. Durant (16.1)
2008-09,NBA,Oklahoma City Thunder,23,59,0.28,5,-6.04,93.6,1.9,102.9,-5.4,109.4,1.1,,"P. Carlesimo (1-12), S. Brooks (22-47)",K. Durant (7.9)
2017-18,NBA,Orlando Magic,25,57,0.305,4,-4.92,98.1,0.8,105.2,-3.4,110.1,1.5,,F. Vogel (25-57),D. Augustin (4.1)
2016-17,NBA,Orlando Magic,29,53,0.354,5,-6.61,96.8,0.4,103.7,-5.1,110.5,1.7,,F. Vogel (29-53),E. Payton (4.4)
2015-16,NBA,Orlando Magic,35,47,0.427,5,-1.68,96,0.2,105.1,-1.3,106.8,0.4,,S. Skiles (35-47),E. Fournier (5.7)
2014-15,NBA,Orlando Magic,25,57,0.305,5,-5.87,93.8,-0.1,101.6,-4,107.7,2.1,,"J. Vaughn (15-37), J. Borrego (10-20)",N. Vucevic (7.0)
2013-14,NBA,Orlando Magic,23,59,0.28,5,-5.88,93.6,-0.3,101.7,-5,107.4,0.7,,J. Vaughn (23-59),A. Afflalo (5.3)
2012-13,NBA,Orlando Magic,20,62,0.244,5,-7.12,92.2,0.2,101.6,-4.3,109.1,3.2,,J. Vaughn (20-62),N. Vucevic (5.7)
2011-12,NBA,Orlando Magic*,37,29,0.561,3,0.46,89,-2.3,105,0.4,104.1,-0.5,Lost E. Conf. 1st Rnd.,S. Van Gundy (37-29),R. Anderson (8.9)
2010-11,NBA,Orlando Magic*,52,30,0.634,2,4.92,91.2,-0.9,107.9,0.6,102,-5.3,Lost E. Conf. 1st Rnd.,S. Van Gundy (52-30),D. Howard (14.4)
2009-10,NBA,Orlando Magic*,59,23,0.72,1,7.12,92,-0.7,111.4,3.8,103.3,-4.3,Lost E. Conf. Finals,S. Van Gundy (59-23),D. Howard (13.2)
2008-09,NBA,Orlando Magic*,59,23,0.72,1,6.48,92.3,0.6,109.2,0.9,101.9,-6.4,Lost Finals,S. Van Gundy (59-23),D. Howard 
2017-18,NBA,Philadelphia 76ers*,52,30,0.634,3,4.3,99.8,2.5,109.5,0.9,105,-3.6,Won E. Conf. 1st Rnd.,B. Brown (52-30),B. Simmons (9.2)
2016-17,NBA,Philadelphia 76ers,28,54,0.341,4,-5.83,98.5,2.1,103.2,-5.6,108.9,0.1,,B. Brown (28-54),T. McConnell (3.8)
2015-16,NBA,Philadelphia 76ers,10,72,0.122,5,-9.92,97.9,2.1,98.8,-7.6,109.2,2.8,,B. Brown (10-72),N. Noel (3.0)
2014-15,NBA,Philadelphia 76ers,18,64,0.22,4,-9.04,95.7,1.8,95.5,-10.1,104.8,-0.8,,B. Brown (18-64),N. Noel (4.0)
2013-14,NBA,Philadelphia 76ers,19,63,0.232,5,-10.66,99.2,5.3,99.4,-7.3,109.9,3.2,,B. Brown (19-63),T. Young (3.5)
2012-13,NBA,Philadelphia 76ers,34,48,0.415,4,-3.51,91,-1,102,-3.9,105.7,-0.2,,D. Collins (34-48),T. Young (7.4)
2011-12,NBA,Philadelphia 76ers*,35,31,0.53,3,3.59,89.7,-1.6,103.9,-0.7,99.2,-5.4,Lost E. Conf. Semis,D. Collins (35-31),A. Iguodala (7.3)
2010-11,NBA,Philadelphia 76ers*,41,41,0.5,3,1.01,91.7,-0.4,106.6,-0.7,105,-2.3,Lost E. Conf. 1st Rnd.,D. Collins (41-41),E. Brand (9.4)
2009-10,NBA,Philadelphia 76ers,27,55,0.329,4,-3.93,91.6,-1.1,106.1,-1.5,110.3,2.7,,E. Jordan (27-55),A. Iguodala (6.7)
2008-09,NBA,Philadelphia 76ers*,41,41,0.5,2,0.16,90,-1.7,107.9,-0.4,107.8,-0.5,Lost E. Conf. 1st Rnd.,"M. Cheeks (9-14), T. DiLeo (32-27)",A. Iguo
2017-18,NBA,Phoenix Suns,21,61,0.256,5,-8.8,100.3,3,103.5,-5.1,112.8,4.2,,"E. Watson (0-3), J. Triano (21-58)",A. Len (4.5)
2016-17,NBA,Phoenix Suns,24,58,0.293,5,-5.14,100.3,3.9,106.6,-2.2,112.2,3.4,,E. Watson (24-58),E. Bledsoe (5.3)
2015-16,NBA,Phoenix Suns,23,59,0.28,4,-6.32,98.5,2.7,102.2,-4.2,109,2.6,,"J. Hornacek (14-35), E. Watson (9-24)",M. Teletovic (3.8)
2014-15,NBA,Phoenix Suns,39,43,0.476,3,-0.38,96.3,2.4,105.3,-0.3,106.2,0.6,,J. Hornacek (39-43),E. Bledsoe (7.0)
2013-14,NBA,Phoenix Suns,48,34,0.585,3,3.02,95.8,1.9,109.5,2.8,106.7,0,,J. Hornacek (48-34),G. Dragic (10.3)
2012-13,NBA,Phoenix Suns,25,57,0.305,5,-5.75,93.4,1.4,101.2,-4.7,108.1,2.2,,"A. Gentry (13-28), L. Hunter (12-29)",G. Dragic (5.7)
2011-12,NBA,Phoenix Suns,33,33,0.5,3,0.29,92.6,1.3,106.2,1.6,106.5,1.9,,A. Gentry (33-33),M. Gortat (7.6)
2010-11,NBA,Phoenix Suns,40,42,0.488,2,-0.46,94.4,2.3,109.5,2.2,110.4,3.1,,A. Gentry (40-42),S. Nash (7.9)
2009-10,NBA,Phoenix Suns*,54,28,0.659,2,4.67,95.3,2.6,115.3,7.7,110.2,2.6,Lost W. Conf. Finals,A. Gentry (54-28),A. Stoudemire (10.7)
2008-09,NBA,Phoenix Suns,46,36,0.561,2,1.62,96,4.3,113.6,5.3,111.6,3.3,,"T. Porter (28-23), A. Gentry (18-13)",S. O'
2017-18,NBA,Portland Trail Blazers*,49,33,0.598,1,2.6,96.5,-0.8,109.1,0.5,106.4,-2.2,Lost W. Conf. 1st Rnd.,T. Stotts (49-33),D. Lillard (12.6)
2016-17,NBA,Portland Trail Blazers*,41,41,0.5,3,-0.23,96.7,0.3,110.3,1.5,110.8,2,Lost W. Conf. 1st Rnd.,T. Stotts (41-41),D. Lillard (10.4)
2015-16,NBA,Portland Trail Blazers*,44,38,0.537,2,0.98,96,0.2,108.8,2.4,108,1.6,Lost W. Conf. Semis,T. Stotts (44-38),D. Lillard (9.2)
2014-15,NBA,Portland Trail Blazers*,51,31,0.622,1,4.41,94.2,0.3,108.2,2.6,103.7,-1.9,Lost W. Conf. 1st Rnd.,T. Stotts (51-31),D. Lillard (10.6)
2013-14,NBA,Portland Trail Blazers*,54,28,0.659,2,4.44,94.9,1,111.5,4.8,107.4,0.7,Lost W. Conf. Semis,T. Stotts (54-28),D. Lillard (9.6)
2012-13,NBA,Portland Trail Blazers,33,49,0.402,4,-2.53,91.4,-0.6,105.8,-0.1,109.2,3.3,,T. Stotts (33-49),L. Aldridge (7.2)
2011-12,NBA,Portland Trail Blazers,28,38,0.424,4,-0.22,91.2,-0.1,105.7,1.1,106.4,1.8,,"N. McMillan (20-23), K. Canales (8-15)",L. Aldridge (7.0)
2010-11,NBA,Portland Trail Blazers*,48,34,0.585,3,1.85,87.9,-4.2,108.8,1.5,107.1,-0.2,Lost W. Conf. 1st Rnd.,N. McMillan (48-34),L. Aldridge (11.1)
2009-10,NBA,Portland Trail Blazers*,50,32,0.61,3,3.18,87.7,-5,110.8,3.2,107.1,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (50-32),B. Roy (9.1)
2008-09,NBA,Portland Trail Blazers*,54,28,0.659,2,5,86.6,-5.1,113.9,5.6,107.8,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (54-28),
2017-18,NBA,San Antonio Spurs*,47,35,0.573,3,2.89,95,-2.3,107.9,-0.7,104.8,-3.8,Lost W. Conf. 1st Rnd.,G. Popovich (47-35),L. Aldridge (10.9)
2016-17,NBA,San Antonio Spurs*,61,21,0.744,1,7.13,94.2,-2.2,111.1,2.3,103.5,-5.3,Lost W. Conf. Finals,G. Popovich (61-21),K. Leonard (13.6)
2015-16,NBA,San Antonio Spurs*,67,15,0.817,1,10.28,93.8,-2,110.3,3.9,99,-7.4,Lost W. Conf. Semis,G. Popovich (67-15),K. Leonard (13.7)
2014-15,NBA,San Antonio Spurs*,55,27,0.671,2,6.34,93.8,-0.1,108.5,2.9,102,-3.6,Lost W. Conf. 1st Rnd.,G. Popovich (55-27),T. Duncan (9.6)
2013-14,NBA,San Antonio Spurs*,62,20,0.756,1,8,95,1.1,110.5,3.8,102.4,-4.3,Won Finals,G. Popovich (62-20),K. Leonard (7.7)
2012-13,NBA,San Antonio Spurs*,58,24,0.707,1,6.67,94.2,2.2,108.3,2.4,101.6,-4.3,Lost Finals,G. Popovich (58-24),T. Parker (9.3)
2011-12,NBA,San Antonio Spurs*,50,16,0.758,1,7.28,92.9,1.6,110.9,6.3,103.2,-1.4,Lost W. Conf. Finals,G. Popovich (50-16),T. Parker (7.1)
2010-11,NBA,San Antonio Spurs*,61,21,0.744,1,5.86,92.3,0.2,111.8,4.5,105.6,-1.7,Lost W. Conf. 1st Rnd.,G. Popovich (61-21),M. Ginobili (9.9)
2009-10,NBA,San Antonio Spurs*,50,32,0.61,2,5.07,91.7,-1,110,2.4,104.5,-3.1,Lost W. Conf. Semis,G. Popovich (50-32),T. Duncan (10.9)
2008-09,NBA,San Antonio Spurs*,54,28,0.659,1,3.36,88.4,-3.3,108.5,0.2,104.3,-4,Lost W. Conf. 1st Rnd.,G. Popovich (,
2017-18,NBA,Toronto Raptors*,59,23,0.72,1,7.29,97.4,0.1,113.8,5.2,105.9,-2.7,Y,D. Casey (59-23),K. Lowry (10.2)
2016-17,NBA,Toronto Raptors*,51,31,0.622,2,3.65,94.7,-1.7,112.3,3.5,107.8,-1,Lost E. Conf. Semis,D. Casey (51-31),K. Lowry (10.1)
2015-16,NBA,Toronto Raptors*,56,26,0.683,1,4.08,92.9,-2.9,110,3.6,105.2,-1.2,Lost E. Conf. Finals,D. Casey (56-26),K. Lowry (11.6)
2014-15,NBA,Toronto Raptors*,49,33,0.598,1,2.45,92.8,-1.1,111,5.4,107.7,2.1,Lost E. Conf. 1st Rnd.,D. Casey (49-33),J. Valanciunas (8.2)
2013-14,NBA,Toronto Raptors*,48,34,0.585,1,2.55,91.8,-2.1,108.8,2.1,105.3,-1.4,Lost E. Conf. 1st Rnd.,D. Casey (48-34),K. Lowry (11.7)
2012-13,NBA,Toronto Raptors,34,48,0.415,5,-1.96,90.4,-1.6,105.9,0,107.5,1.6,,D. Casey (34-48),A. Johnson (7.3)
2011-12,NBA,Toronto Raptors,23,43,0.348,4,-3.67,89.3,-2,100.8,-3.8,104.5,-0.1,,D. Casey (23-43),J. Calderon (5.1)
2010-11,NBA,Toronto Raptors,22,60,0.268,5,-6.28,92.9,0.8,106.1,-1.2,112.9,5.6,,J. Triano (22-60),A. Johnson (5.6)
2009-10,NBA,Toronto Raptors,40,42,0.488,2,-1.83,93.1,0.4,111.3,3.7,113.2,5.6,,J. Triano (40-42),C. Bosh (9.6)
2008-09,NBA,Toronto Raptors,33,49,0.402,4,-2.54,92,0.3,107,-1.3,110,1.7,,,
2017-18,NBA,Utah Jazz*,48,34,0.585,3,4.47,95.7,-1.6,108.4,-0.2,103.9,-4.7,Y,Q. Snyder (48-34),R. Gobert (8.1)
2016-17,NBA,Utah Jazz*,51,31,0.622,1,4,91.6,-4.8,109.6,0.8,105.3,-3.5,Lost W. Conf. Semis,Q. Snyder (51-31),R. Gobert (14.3)
2015-16,NBA,Utah Jazz,40,42,0.488,3,1.84,91,-4.8,105.9,-0.5,103.9,-2.5,,Q. Snyder (40-42),G. Hayward (8.9)
2014-15,NBA,Utah Jazz,38,44,0.463,3,0.71,90.4,-3.5,105.1,-0.5,104.9,-0.7,,Q. Snyder (38-44),R. Gobert (9.3)
2013-14,NBA,Utah Jazz,25,57,0.305,5,-6.27,91.4,-2.5,103.5,-3.2,111.3,4.6,,T. Corbin (25-57),D. Favors (5.1)
2012-13,NBA,Utah Jazz,43,39,0.524,3,0.3,90.9,-1.1,106.7,0.8,106.8,0.9,,T. Corbin (43-39),A. Jefferson (7.7)
2011-12,NBA,Utah Jazz*,36,30,0.545,3,0.92,91.4,0.1,106.8,2.2,106.1,1.5,Lost W. Conf. 1st Rnd.,T. Corbin (36-30),P. Millsap (7.8)
2010-11,NBA,Utah Jazz,39,43,0.476,4,-1.44,91,-1.1,108.1,0.8,110.1,2.8,,"J. Sloan (31-23), T. Corbin (8-20)",A. Jefferson (7.8)
2009-10,NBA,Utah Jazz*,53,29,0.646,2,5.33,93.8,1.1,110.7,3.1,105,-2.6,Lost W. Conf. Semis,J. Sloan (53-29),D. Williams (10.3)
2008-09,NBA,Utah Jazz*,48,34,0.585,3,2.31,93.1,1.4,110.1,1.8,107.3,-1,Lost W. Conf. 1st Rnd.,J. Sloan (48-34),D. Williams (8.4)
2017-18,NBA,Washington Wizards*,43,39,0.524,2,0.53,96.6,-0.7,109.3,0.7,108.7,0.1,Y,S. Brooks (43-39),O. Porter (8.1)
2016-17,NBA,Washington Wizards*,49,33,0.598,1,1.36,97.4,1,111.2,2.4,109.3,0.5,Lost E. Conf. Semis,S. Brooks (49-33),O. Porter (9.4)
2015-16,NBA,Washington Wizards,41,41,0.5,4,-0.5,98.5,2.7,105.3,-1.1,105.8,-0.6,,R. Wittman (41-41),M. Gortat (7.3)
2014-15,NBA,Washington Wizards*,46,36,0.561,2,0.17,93.7,-0.2,103.7,-1.9,103,-2.6,Lost E. Conf. Semis,R. Wittman (46-36),M. Gortat (8.6)
2013-14,NBA,Washington Wizards*,44,38,0.537,2,0.48,93.2,-0.7,106,-0.7,104.6,-2.1,Lost E. Conf. Semis,R. Wittman (44-38),M. Gortat (8.1)
2012-13,NBA,Washington Wizards,29,53,0.354,3,-2.78,92.2,0.2,100.2,-5.7,103,-2.9,,R. Wittman (29-53),M. Webster (6.3)
2011-12,NBA,Washington Wizards,20,46,0.303,4,-5.14,92.5,1.2,101,-3.6,106.2,1.6,,"F. Saunders (2-15), R. Wittman (18-31)",J. Wall (3.5)
2010-11,NBA,Washington Wizards,23,59,0.28,5,-7.3,93.8,1.7,102.4,-4.9,110.2,2.9,,F. Saunders (23-59),J. McGee (5.3)
2009-10,NBA,Washington Wizards,26,56,0.317,5,-4.72,91.6,-1.1,104.2,-3.4,109.4,1.8,,F. Saunders (26-56),B. Haywood (4.5)
2008-09,NBA,Washington Wizards,19,63,0.232,5,-6.98,91,-0.7,105.4,-2.9,113.6,5.3,,"E. Jordan (1-10), E. Tapscott (18-53)",
2017-18,NBA,Minnesota Timberwolves*,47,35,0.573,4,2.35,96,-1.3,113.4,4.8,111.1,2.5,Lost W. Conf. 1st Rnd.,T. Thibodeau (47-35),K. Towns (14.0)
2007-08,NBA,Boston Celtics*,66,16,0.805,1,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,D. Rivers (66-16),K. Garnett (12.9
2007-08,NBA,Toronto Raptors*,41,41,0.5,2,2.47,90.2,-2.2,110.2,2.7,107,-0.5,Lost E. Conf. 1st Rnd.,S. Mitchell (41-41),J. Calderon (10.
2007-08,NBA,Philadelphia 76ers*,40,42,0.488,3,0.19,90.4,-2,106.4,-1.1,106,-1.5,Lost E. Conf. 1st Rnd.,M. Cheeks (40-42),A. Iguodala (
2007-08,NBA,Detroit Pistons*,59,23,0.72,1,6.67,87.3,-5.1,111.4,3.9,102.9,-4.6,Lost E. Conf. Finals,F. Saunders (59-23),
2007-08,NBA,Cleveland Cavaliers*,45,37,0.549,2,-0.53,90.2,-2.2,106,-1.5,106.4,-1.1,Lost E. Conf. Semis,M. Brown (45-37),
2007-08,NBA,Orlando Magic*,52,30,0.634,1,4.79,93.4,1,111.3,3.8,105.5,-2,Lost E. Conf. Semis,S. Van Gundy (52-30),D. Howard (12
2007-08,NBA,Washington Wizards*,43,39,0.524,2,-0.61,89.5,-2.9,109.2,1.7,109.6,2.1,Lost E. Conf. 1st Rnd.,E. Jordan (43-39),A. Jamison (
2007-08,NBA,Atlanta Hawks*,37,45,0.451,3,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),
2007-08,NBA,Utah Jazz*,54,28,0.659,1,6.86,93.2,0.8,113.8,6.3,106.5,-1,Lost W. Conf. Semis,J. Sloan (54-28),
2007-08,NBA,Denver Nuggets*,50,32,0.61,2,3.74,99.7,7.3,110,2.5,106.3,-1.2,Lost W. Conf. 1st Rnd.,G. Karl (50-32),
2007-08,NBA,Los Angeles Lakers*,57,25,0.695,1,7.34,95.6,3.2,113,5.5,105.5,-2,Lost Finals,P. Jackson (57-25),
2007-08,NBA,Phoenix Suns*,55,27,0.671,2,5.14,96.7,4.3,113.3,5.8,108.1,0.6,Lost W. Conf. 1st Rnd.,M. D'Antoni (55-27),A. Stoudemir
2007-08,NBA,New Orleans Hornets*,56,26,0.683,1,5.46,89.9,-2.5,111.5,4,105.7,-1.8,Lost W. Conf. Semis,B. Scott (56-26),C. Paul (1
2007-08,NBA,San Antonio Spurs*,56,26,0.683,2,5.1,88.8,-3.6,107.2,-0.3,101.8,-5.7,Lost W. Conf. Finals,G. Popovich (56-26),M. Ginobili (1
2007-08,NBA,Houston Rockets*,55,27,0.671,3,4.83,90.4,-2,106.8,-0.7,101.6,-5.9,Lost W. Conf. 1st Rnd.,R. Adelman (55-27),
2007-08,NBA,Dallas Mavericks*,51,31,0.622,4,4.7,90.2,-2.2,111.1,3.6,106.1,-1.4,Lost W. Conf. 1st Rnd.,A. Johnson (51-31),D. Nowitzki (12.9)
2008-09,NBA,Detroit Pistons*,39,43,0.476,3,-0.36,86.7,-5,107.4,-0.9,108,-0.3,Lost E. Conf. 1st Rnd.,M. Curry (39-43),
2015-16,NBA,Detroit Pistons*,44,38,0.537,3,0.43,95.1,-0.7,106.1,-0.3,105.5,-0.9,Lost E. Conf. 1st Rnd.,S. Van Gundy (44-38),A. Drummond (7.4)
